Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9567,0.9527,0.9668,0.9597,0.956,0.9453,0.9668,0.913,0.9131
0.9604,0.9565,0.9699,0.9631,0.9598,0.9496,0.9699,0.9204,0.9205
0.957,0.9555,0.9643,0.9599,0.9565,0.9487,0.9643,0.9136,0.9137
0.9573,0.9544,0.9661,0.9602,0.9567,0.9473,0.9661,0.9141,0.9142
0.9585,0.9526,0.9704,0.9614,0.9577,0.945,0.9704,0.9166,0.9167
0.9573,0.9555,0.9648,0.9601,0.9568,0.9487,0.9648,0.9142,0.9142
0.9587,0.9568,0.9661,0.9614,0.9581,0.9502,0.9661,0.9169,0.9169
0.9577,0.9526,0.9689,0.9606,0.9569,0.945,0.9689,0.9149,0.9151
0.9557,0.9519,0.9655,0.9587,0.955,0.9444,0.9655,0.9108,0.9109
0.9601,0.9544,0.9717,0.9629,0.9593,0.947,0.9717,0.9198,0.92
