Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9952,0.9934,0.9977,0.9955,0.9951,0.9924,0.9977,0.9904,0.9904
0.9955,0.9959,0.9957,0.9958,0.9955,0.9953,0.9957,0.991,0.991
0.9956,0.9939,0.998,0.9959,0.9955,0.993,0.998,0.9913,0.9913
0.9956,0.9954,0.9964,0.9959,0.9956,0.9948,0.9964,0.9913,0.9913
0.9961,0.9952,0.9974,0.9963,0.996,0.9945,0.9974,0.9921,0.9921
0.994,0.9944,0.9944,0.9944,0.994,0.9936,0.9944,0.988,0.988
0.9952,0.9959,0.9952,0.9955,0.9952,0.9953,0.9952,0.9904,0.9904
0.994,0.9951,0.9936,0.9944,0.994,0.9945,0.9936,0.988,0.988
0.9962,0.9954,0.9974,0.9964,0.9961,0.9948,0.9974,0.9923,0.9924
0.9944,0.9934,0.9962,0.9948,0.9943,0.9924,0.9962,0.9888,0.9888
