Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9936,0.9921,0.9959,0.994,0.9934,0.991,0.9959,0.9872,0.9872
0.9937,0.9939,0.9944,0.9941,0.9937,0.993,0.9944,0.9874,0.9874
0.9933,0.9946,0.9929,0.9937,0.9934,0.9939,0.9929,0.9866,0.9866
0.994,0.9941,0.9946,0.9944,0.994,0.9933,0.9946,0.988,0.988
0.9944,0.9959,0.9936,0.9948,0.9945,0.9953,0.9936,0.9888,0.9888
0.9931,0.9941,0.9929,0.9935,0.9931,0.9933,0.9929,0.9861,0.9861
0.9935,0.9934,0.9944,0.9939,0.9934,0.9924,0.9944,0.9869,0.9869
0.9936,0.9954,0.9926,0.994,0.9937,0.9948,0.9926,0.9872,0.9872
0.9937,0.9916,0.9967,0.9941,0.9935,0.9904,0.9967,0.9874,0.9874
0.9931,0.9929,0.9941,0.9935,0.993,0.9918,0.9941,0.9861,0.9861
