Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.995,0.9949,0.9957,0.9953,0.9949,0.9942,0.9957,0.9899,0.9899
0.9944,0.9946,0.9949,0.9948,0.9944,0.9939,0.9949,0.9888,0.9888
0.9951,0.9949,0.9959,0.9954,0.995,0.9942,0.9959,0.9902,0.9902
0.9947,0.9959,0.9941,0.995,0.9947,0.9953,0.9941,0.9893,0.9893
0.9956,0.9954,0.9964,0.9959,0.9956,0.9948,0.9964,0.9913,0.9913
0.9942,0.9916,0.9974,0.9945,0.9939,0.9904,0.9974,0.9882,0.9883
0.9937,0.9949,0.9934,0.9941,0.9938,0.9942,0.9934,0.9874,0.9874
0.9942,0.9946,0.9944,0.9945,0.9941,0.9939,0.9944,0.9883,0.9883
0.9959,0.9974,0.9949,0.9962,0.996,0.9971,0.9949,0.9918,0.9918
0.9943,0.9959,0.9934,0.9946,0.9944,0.9953,0.9934,0.9885,0.9885
