Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9947,0.9946,0.9954,0.995,0.9946,0.9939,0.9954,0.9893,0.9893
0.9944,0.9951,0.9944,0.9948,0.9944,0.9945,0.9944,0.9888,0.9888
0.9939,0.9934,0.9952,0.9943,0.9938,0.9924,0.9952,0.9877,0.9877
0.9947,0.9957,0.9944,0.995,0.9947,0.995,0.9944,0.9893,0.9893
0.9947,0.9946,0.9954,0.995,0.9946,0.9939,0.9954,0.9893,0.9893
0.9932,0.9949,0.9923,0.9936,0.9933,0.9942,0.9923,0.9863,0.9863
0.9943,0.9944,0.9949,0.9946,0.9942,0.9936,0.9949,0.9885,0.9885
0.9937,0.9949,0.9934,0.9941,0.9938,0.9942,0.9934,0.9874,0.9874
0.9955,0.9962,0.9954,0.9958,0.9955,0.9956,0.9954,0.991,0.991
0.9947,0.9931,0.9969,0.995,0.9945,0.9921,0.9969,0.9893,0.9893
