Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9925,0.9921,0.9939,0.993,0.9924,0.991,0.9939,0.985,0.985
0.9928,0.9934,0.9931,0.9932,0.9928,0.9924,0.9931,0.9855,0.9855
0.9925,0.9924,0.9936,0.993,0.9924,0.9913,0.9936,0.985,0.985
0.9929,0.9919,0.9949,0.9934,0.9928,0.9907,0.9949,0.9858,0.9858
0.9933,0.9909,0.9967,0.9938,0.9931,0.9895,0.9967,0.9866,0.9866
0.9917,0.9923,0.9921,0.9922,0.9917,0.9913,0.9921,0.9833,0.9833
0.9924,0.9926,0.9931,0.9929,0.9923,0.9916,0.9931,0.9847,0.9847
0.9927,0.9934,0.9929,0.9931,0.9926,0.9924,0.9929,0.9852,0.9852
0.9936,0.9931,0.9949,0.994,0.9935,0.9921,0.9949,0.9872,0.9872
0.9913,0.9898,0.9939,0.9918,0.9911,0.9883,0.9939,0.9825,0.9825
