Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9942,0.9951,0.9939,0.9945,0.9942,0.9945,0.9939,0.9883,0.9883
0.9937,0.9951,0.9931,0.9941,0.9938,0.9945,0.9931,0.9874,0.9874
0.9943,0.9939,0.9954,0.9946,0.9942,0.993,0.9954,0.9885,0.9885
0.9948,0.9959,0.9944,0.9951,0.9949,0.9953,0.9944,0.9896,0.9896
0.9956,0.9949,0.9969,0.9959,0.9956,0.9942,0.9969,0.9913,0.9913
0.9942,0.9949,0.9941,0.9945,0.9942,0.9942,0.9941,0.9883,0.9883
0.9928,0.9926,0.9939,0.9932,0.9927,0.9916,0.9939,0.9855,0.9855
0.9942,0.9936,0.9954,0.9945,0.9941,0.9927,0.9954,0.9883,0.9883
0.9947,0.9944,0.9957,0.995,0.9946,0.9936,0.9957,0.9893,0.9893
0.9939,0.9939,0.9946,0.9943,0.9938,0.993,0.9946,0.9877,0.9877
