Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9944,0.9951,0.9944,0.9948,0.9944,0.9945,0.9944,0.9888,0.9888
0.9944,0.9936,0.9959,0.9948,0.9943,0.9927,0.9959,0.9888,0.9888
0.9943,0.9939,0.9954,0.9946,0.9942,0.993,0.9954,0.9885,0.9885
0.9956,0.9954,0.9964,0.9959,0.9956,0.9948,0.9964,0.9913,0.9913
0.9946,0.9934,0.9964,0.9949,0.9944,0.9924,0.9964,0.9891,0.9891
0.9944,0.9951,0.9944,0.9948,0.9944,0.9945,0.9944,0.9888,0.9888
0.9943,0.9939,0.9954,0.9946,0.9942,0.993,0.9954,0.9885,0.9885
0.9948,0.9959,0.9944,0.9951,0.9949,0.9953,0.9944,0.9896,0.9896
0.9946,0.9969,0.9929,0.9949,0.9947,0.9965,0.9929,0.9891,0.9891
0.994,0.9921,0.9967,0.9944,0.9938,0.991,0.9967,0.988,0.988
