Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9925,0.9954,0.9898,0.9926,0.9925,0.9953,0.9898,0.985,0.985
0.9942,0.9943,0.9943,0.9943,0.9942,0.9941,0.9943,0.9885,0.9885
0.9913,0.9876,0.9954,0.9915,0.9913,0.9871,0.9954,0.9827,0.9827
0.9931,0.9932,0.9932,0.9932,0.9931,0.993,0.9932,0.9861,0.9861
0.9913,0.9865,0.9966,0.9915,0.9913,0.9859,0.9966,0.9827,0.9827
0.9913,0.9876,0.9954,0.9915,0.9913,0.9871,0.9954,0.9827,0.9827
0.9931,0.9921,0.9943,0.9932,0.9931,0.9918,0.9943,0.9861,0.9861
0.9931,0.9943,0.992,0.9932,0.9931,0.9941,0.992,0.9861,0.9861
0.9913,0.992,0.9909,0.9915,0.9913,0.9918,0.9909,0.9827,0.9827
0.9902,0.9943,0.9863,0.9903,0.9902,0.9941,0.9863,0.9804,0.9804
