Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9972,0.9979,0.9968,0.9974,0.9973,0.9977,0.9968,0.9945,0.9945
0.9972,0.9979,0.9968,0.9974,0.9973,0.9977,0.9968,0.9945,0.9945
0.9978,0.9968,0.9989,0.9979,0.9977,0.9965,0.9989,0.9956,0.9956
0.9961,0.9937,0.9989,0.9963,0.996,0.9931,0.9989,0.9923,0.9923
0.9983,0.9979,0.9989,0.9984,0.9983,0.9977,0.9989,0.9967,0.9967
0.9967,0.9979,0.9958,0.9968,0.9967,0.9977,0.9958,0.9934,0.9934
0.9983,0.9989,0.9979,0.9984,0.9984,0.9988,0.9979,0.9967,0.9967
0.995,0.9958,0.9947,0.9952,0.9951,0.9954,0.9947,0.9901,0.9901
0.9939,0.9916,0.9968,0.9942,0.9938,0.9908,0.9968,0.9878,0.9879
0.9961,0.9979,0.9947,0.9963,0.9962,0.9977,0.9947,0.9923,0.9923
