Accuracy,Precision,Recall,F1,Sensitivity,Specificity,ROC_AUC,Kappa,MCC
0.9989,0.9995,0.9986,0.999,0.999,0.9994,0.9986,0.9979,0.9979
0.9971,0.9962,0.9986,0.9974,0.9969,0.9953,0.9986,0.9942,0.9942
0.9955,0.9962,0.9957,0.9959,0.9955,0.9953,0.9957,0.991,0.991
0.9961,0.9967,0.9962,0.9964,0.996,0.9959,0.9962,0.992,0.992
0.9955,0.9938,0.9981,0.9959,0.9952,0.9924,0.9981,0.991,0.991
0.9966,0.9952,0.9986,0.9969,0.9964,0.9942,0.9986,0.9931,0.9931
0.9971,0.9962,0.9986,0.9974,0.9969,0.9953,0.9986,0.9942,0.9942
0.9966,0.9957,0.9981,0.9969,0.9964,0.9947,0.9981,0.9931,0.9931
0.9955,0.9952,0.9967,0.9959,0.9954,0.9942,0.9967,0.991,0.991
0.995,0.9938,0.9971,0.9955,0.9948,0.9924,0.9971,0.9899,0.9899
